,Experiment,Direction,Variables,# Objectives,Solution approach,Instance,# Variables,# Constraints,Objective value,Relative gap,Solve time (s),Error
0,4,Max,Continuous,2,N-O-1,400-200.0-1.lp,400,200,83301790.746142,0,3.12,
1,4,Max,Continuous,2,N-O-1,400-200.0-2.lp,400,200,101574028.627982,0,2.2,
2,4,Max,Continuous,2,N-O-1,400-200.0-3.lp,400,200,98434676.456666,0,2.44,
3,4,Max,Continuous,2,N-O-1,400-200.0-4.lp,400,200,93249996,0,3.53,
4,4,Max,Continuous,2,N-O-1,400-200.0-5.lp,400,200,97289632.254881,0,2.63,
5,4,Max,Continuous,2,N-O-1,400-400-1.lp,400,400,26244672.184248,0,4.87,
6,4,Max,Continuous,2,N-O-1,400-400-2.lp,400,400,27965005.729022,0,3.48,
7,4,Max,Continuous,2,N-O-1,400-400-3.lp,400,400,35379120.608021,0,3.61,
8,4,Max,Continuous,2,N-O-1,400-400-4.lp,400,400,34665137.48083,0,4.53,
9,4,Max,Continuous,2,N-O-1,400-400-5.lp,400,400,27782527.500854,0,4.51,
10,4,Max,Continuous,2,N-O-1,400-600.0-1.lp,400,600,14164395.823857,0,2.66,
11,4,Max,Continuous,2,N-O-1,400-600.0-2.lp,400,600,17125329.714332,0,5.55,
12,4,Max,Continuous,2,N-O-1,400-600.0-3.lp,400,600,15578982.037742,0,2.86,
13,4,Max,Continuous,2,N-O-1,400-600.0-4.lp,400,600,17892238.372755,0,3.65,
14,4,Max,Continuous,2,N-O-1,400-600.0-5.lp,400,600,17946502.501587,0,6.12,
15,4,Max,Continuous,2,N-O-1,400-800-1.lp,400,800,10627957.860954,0,8.38,
16,4,Max,Continuous,2,N-O-1,400-800-2.lp,400,800,11331895,0,7.48,
17,4,Max,Continuous,2,N-O-1,400-800-3.lp,400,800,12622399.685718,0,8.06,
18,4,Max,Continuous,2,N-O-1,400-800-4.lp,400,800,13322809.102873,0,5.21,
19,4,Max,Continuous,2,N-O-1,400-800-5.lp,400,800,12524475.946922,0,6.69,
20,4,Max,Continuous,2,N-O-1,800-400.0-1.lp,800,400,348836263.935696,0,20.99,
21,4,Max,Continuous,2,N-O-1,800-400.0-2.lp,800,400,329556550.970881,0,17.19,
22,4,Max,Continuous,2,N-O-1,800-400.0-3.lp,800,400,337113154.052779,0,12.34,
23,4,Max,Continuous,2,N-O-1,800-400.0-4.lp,800,400,347020080.632942,0,13.76,
24,4,Max,Continuous,2,N-O-1,800-400.0-5.lp,800,400,371225996.902448,0,17.99,
25,4,Max,Continuous,2,N-O-1,800-800-1.lp,800,800,138411879.453083,0,39.49,
26,4,Max,Continuous,2,N-O-1,800-800-2.lp,800,800,128655646.958642,0,33.37,
27,4,Max,Continuous,2,N-O-1,800-800-3.lp,800,800,118501381.005536,0,25.7,
28,4,Max,Continuous,2,N-O-1,800-800-4.lp,800,800,124946537.413188,0,28.26,
29,4,Max,Continuous,2,N-O-1,800-800-5.lp,800,800,123963704.663413,0,20.41,
30,4,Max,Continuous,2,N-O-1,800-1200.0-1.lp,800,1200,89743251.055393,0,52.51,
31,4,Max,Continuous,2,N-O-1,800-1200.0-2.lp,800,1200,65203981.582989,0,16.02,
32,4,Max,Continuous,2,N-O-1,800-1200.0-3.lp,800,1200,74317330.301389,0,37.94,
33,4,Max,Continuous,2,N-O-1,800-1200.0-4.lp,800,1200,78183869.80177,0,49.67,
34,4,Max,Continuous,2,N-O-1,800-1200.0-5.lp,800,1200,88347060.637144,0,94.42,
35,4,Max,Continuous,2,N-O-1,800-1600-1.lp,800,1600,51804981.368961,0,31.82,
36,4,Max,Continuous,2,N-O-1,800-1600-2.lp,800,1600,57044117.700321,0,17.19,
37,4,Max,Continuous,2,N-O-1,800-1600-3.lp,800,1600,57066058.425865,0,34.15,
38,4,Max,Continuous,2,N-O-1,800-1600-4.lp,800,1600,54526777.792618,0,22.72,
39,4,Max,Continuous,2,N-O-1,800-1600-5.lp,800,1600,52782139.46806,0,19.47,
40,4,Max,Continuous,2,N-O-1,1200-600.0-1.lp,1200,600,777360362.427513,0,31.63,
41,4,Max,Continuous,2,N-O-1,1200-600.0-2.lp,1200,600,699487528.861704,0,45.15,
42,4,Max,Continuous,2,N-O-1,1200-600.0-3.lp,1200,600,704532970.439347,0,32.06,
43,4,Max,Continuous,2,N-O-1,1200-600.0-4.lp,1200,600,646978723.531744,0,39.87,
44,4,Max,Continuous,2,N-O-1,1200-600.0-5.lp,1200,600,660690613.905473,0,42.79,
45,4,Max,Continuous,2,N-O-1,1200-1200-1.lp,1200,1200,311249990.77424,0,62.54,
46,4,Max,Continuous,2,N-O-1,1200-1200-2.lp,1200,1200,269386463.872456,0,33.24,
47,4,Max,Continuous,2,N-O-1,1200-1200-3.lp,1200,1200,287771338.148626,0,33.28,
48,4,Max,Continuous,2,N-O-1,1200-1200-4.lp,1200,1200,275857940,0,62.57,
49,4,Max,Continuous,2,N-O-1,1200-1200-5.lp,1200,1200,261733774.567093,0,30.92,
50,4,Max,Continuous,2,N-O-1,1200-1800.0-1.lp,1200,1800,153098755.506601,0,180.34,
51,4,Max,Continuous,2,N-O-1,1200-1800.0-2.lp,1200,1800,179659334.702389,0,82.9,
52,4,Max,Continuous,2,N-O-1,1200-1800.0-3.lp,1200,1800,187881915.004851,0,159.61,
53,4,Max,Continuous,2,N-O-1,1200-1800.0-4.lp,1200,1800,187592381.733864,0,157.92,
54,4,Max,Continuous,2,N-O-1,1200-1800.0-5.lp,1200,1800,172340084.665655,0,127.81,
55,4,Max,Continuous,2,N-O-1,1200-2400-1.lp,1200,2400,128782477.937599,0,125.36,
56,4,Max,Continuous,2,N-O-1,1200-2400-2.lp,1200,2400,128038339.951996,0,158.99,
57,4,Max,Continuous,2,N-O-1,1200-2400-3.lp,1200,2400,132560729.383273,0,137.98,
58,4,Max,Continuous,2,N-O-1,1200-2400-4.lp,1200,2400,122942767.652798,0,133.66,
59,4,Max,Continuous,2,N-O-1,1200-2400-5.lp,1200,2400,120692271.075602,0,244.67,
60,4,Max,Continuous,2,N-O-1,1600-800.0-1.lp,1600,800,1157368947.899346,0,33.83,
61,4,Max,Continuous,2,N-O-1,1600-800.0-2.lp,1600,800,1116597354.533505,0,55.7,
62,4,Max,Continuous,2,N-O-1,1600-800.0-3.lp,1600,800,1116382708.866786,0,33.22,
63,4,Max,Continuous,2,N-O-1,1600-800.0-4.lp,1600,800,1140353716.776494,0,46.69,
64,4,Max,Continuous,2,N-O-1,1600-800.0-5.lp,1600,800,1198189340.697252,0,88.89,
65,4,Max,Continuous,2,N-O-1,1600-1600-1.lp,1600,1600,458644507.478082,0,150.66,
66,4,Max,Continuous,2,N-O-1,1600-1600-2.lp,1600,1600,449318847.35322,0,267.8,
67,4,Max,Continuous,2,N-O-1,1600-1600-3.lp,1600,1600,468118845.686124,0,386.01,
68,4,Max,Continuous,2,N-O-1,1600-1600-4.lp,1600,1600,405531566.558061,0,200,
69,4,Max,Continuous,2,N-O-1,1600-1600-5.lp,1600,1600,426042945.336908,0,140.1,
70,4,Max,Continuous,2,N-O-1,1600-2400.0-1.lp,1600,2400,296073196.123904,0,629.69,
71,4,Max,Continuous,2,N-O-1,1600-2400.0-2.lp,1600,2400,345519630.623579,0,259.62,
72,4,Max,Continuous,2,N-O-1,1600-2400.0-3.lp,1600,2400,316910709.387676,0,217.94,
73,4,Max,Continuous,2,N-O-1,1600-2400.0-4.lp,1600,2400,309641366.245741,0,201.4,
74,4,Max,Continuous,2,N-O-1,1600-2400.0-5.lp,1600,2400,308425479.0111,0,106.92,
75,4,Max,Continuous,2,N-O-1,1600-3200-1.lp,1600,3200,206737889.333549,0,263.35,
76,4,Max,Continuous,2,N-O-1,1600-3200-2.lp,1600,3200,237100080.75174,0,687.64,
77,4,Max,Continuous,2,N-O-1,1600-3200-3.lp,1600,3200,237494795.246673,0,154.14,
78,4,Max,Continuous,2,N-O-1,1600-3200-4.lp,1600,3200,214004751.791197,0,255.31,
79,4,Max,Continuous,2,N-O-1,1600-3200-5.lp,1600,3200,245322926.666684,0,410.82,
80,4,Max,Continuous,2,N-O-1,2000-1000.0-1.lp,2000,1000,1633030505.986063,0,190.69,
81,4,Max,Continuous,2,N-O-1,2000-1000.0-2.lp,2000,1000,1543883969.045159,0,243.88,
82,4,Max,Continuous,2,N-O-1,2000-1000.0-3.lp,2000,1000,1526770440.707762,0,99.85,
